Task ID,Occupation (O*NET-SOC Title),Task,User ID,Date,Automation Capacity Rating,Physical Action Requirement,Involved Uncertainty,Domain Expertise Requirement,Interpersonal Communication Requirement,Human Agency Scale Rating
3226,Advertising and Promotions Managers,"Inspect layouts and advertising copy, and edit scripts, audio, video, and other promotional material for adherence to specifications.",RedTiger,2025-03-16,4.0,1.0,1.0,2.0,1.0,2.0
21567,Appraisers and Assessors of Real Estate,Verify legal descriptions of properties by comparing them to county records.,YellowZebra,2025-03-16,3.0,1.0,2.0,4.0,1.0,2.0
11293,Loan Interviewers and Clerks,"Assemble and compile documents for loan closings, such as title abstracts, insurance forms, loan forms, and tax receipts.",GrayLion,2025-03-17,5.0,1.0,1.0,2.0,1.0,1.0
11296,Loan Interviewers and Clerks,"Record applications for loan and credit, loan information, and disbursements of funds, using computers.",GrayLion,2025-03-17,5.0,1.0,1.0,1.0,1.0,1.0
11305,Loan Interviewers and Clerks,Submit loan applications with recommendation for underwriting approval.,GrayLion,2025-03-17,4.0,1.0,3.0,2.0,1.0,2.0
11302,Loan Interviewers and Clerks,File and maintain loan records.,GrayLion,2025-03-18,2.0,3.0,3.0,3.0,3.0,2.0
11301,Loan Interviewers and Clerks,"Contact credit bureaus, employers, and other sources to check applicants' credit and personal references.",GrayLion,2025-03-18,2.0,2.0,3.0,3.0,3.0,2.0
11297,Loan Interviewers and Clerks,"Prepare and type loan applications, closing documents, legal documents, letters, forms, government notices, and checks, using computers.",GrayLion,2025-03-18,3.0,1.0,2.0,4.0,1.0,2.0
11307,Loan Interviewers and Clerks,Review customer accounts to determine whether payments are made on time and that other loan terms are being followed.,GrayLion,2025-03-18,3.0,1.0,1.0,2.0,1.0,1.0
11299,Loan Interviewers and Clerks,"Calculate, review, and correct errors on interest, principal, payment, and closing costs, using computers or calculators.",GrayLion,2025-03-18,3.0,1.0,3.0,3.0,1.0,2.0
11298,Loan Interviewers and Clerks,Present loan and repayment schedules to customers.,GrayLion,2025-03-18,3.0,1.0,3.0,3.0,4.0,2.0
11306,Loan Interviewers and Clerks,Order property insurance or mortgage insurance policies to ensure protection against loss on mortgaged property.,GrayLion,2025-03-18,2.0,2.0,4.0,4.0,2.0,3.0
3970,Technical Writers,"Review published materials and recommend revisions or changes in scope, format, content, and methods of reproduction and binding.",BrownFox,2025-03-18,4.0,3.0,3.0,3.0,3.0,3.0
20910,Proofreaders and Copy Markers,"Typeset and measure dimensions, spacing, and positioning of page elements, such as copy and illustrations, to verify conformance to specifications, using printer's ruler or layout software.",GreenTurtle,2025-03-19,5.0,1.0,1.0,1.0,1.0,1.0
9788,Statistical Assistants,"Compute and analyze data, using statistical formulas and computers or calculators.",GreenTurtle,2025-03-19,4.0,1.0,2.0,4.0,1.0,2.0
9792,Statistical Assistants,Check source data to verify completeness and accuracy.,GreenTurtle,2025-03-19,5.0,1.0,1.0,1.0,1.0,1.0
9789,Statistical Assistants,Enter data into computers for use in analyses or reports.,GreenTurtle,2025-03-19,5.0,1.0,1.0,1.0,1.0,1.0
9791,Statistical Assistants,"Compile reports, charts, or graphs that describe and interpret findings of analyses.",GreenTurtle,2025-03-19,4.0,1.0,1.0,2.0,1.0,2.0
22655,Writers and Authors,Vary language and tone of messages based on product and medium.,BrownFox,2025-03-19,4.0,1.0,1.0,2.0,1.0,2.0
22654,Writers and Authors,Present drafts and ideas to clients.,BrownFox,2025-03-19,3.0,3.0,1.0,3.0,5.0,3.0
