Task ID,Occupation (O*NET-SOC Title),Task,User ID,Date,Self-reported Expertise,Automation Desire Rating,Time,Core Skill Rating,Job Security Rating,Enjoyment Rating,Reasons for Automation Desire - Free Time,Reasons for Automation Desire - Repetitive,Reasons for Automation Desire - Human Error,Reasons for Automation Desire - Stress,Reasons for Automation Desire - Difficulty,Reasons for Automation Desire - Scale,Physical Action Requirement,Interpersonal Communication Requirement,Involved Uncertainty,Domain Expertise Requirement,Human Agency Scale Rating,Reasons for Human Agency - Physical,Reasons for Human Agency - Control,Reasons for Human Agency - Domain Knowledge,Reasons for Human Agency - Empathy,Reasons for Human Agency - Quality Oversight,Reasons for Human Agency - Dynamic,Reasons for Human Agency - Ethical,Other Reason for Automation Desire,Other Reason for Human Agency
2587,Customer Service Representatives,Review insurance policy terms to determine whether a particular loss is covered by insurance.,9215f6fc-81e2-40e1-96db-3ac70cab4091,2025/2/25,Average,1,1,1,1,1,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,5,5,2,5,5,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,
2591,Customer Service Representatives,"Recommend improvements in products, packaging, shipping, service, or billing methods and procedures to prevent future problems.",9215f6fc-81e2-40e1-96db-3ac70cab4091,2025/2/25,Average,1,5,5,5,2,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,5,5,5,5,5,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,
826,"Office Clerks, General","Communicate with customers, employees, and other individuals to answer questions, disseminate or explain information, take orders, and address complaints.",267f612f-6220-4f41-9365-41bd3440cc17,2025/1/21,Expert,2,5,4,4,3,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,1,4,3,4,2,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
832,"Office Clerks, General","Maintain and update filing, inventory, mailing, and database systems, either manually or using a computer.",267f612f-6220-4f41-9365-41bd3440cc17,2025/1/21,Expert,2,1,2,2,4,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,3,1,1,2,3,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,
828,"Office Clerks, General","Compile, copy, sort, and file records of office activities, business transactions, and other activities.",267f612f-6220-4f41-9365-41bd3440cc17,2025/1/21,Expert,3,1,3,2,2,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,1,1,2,2,2,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,FALSE
834,"Office Clerks, General","Review files, records, and other documents to obtain information to respond to requests.",267f612f-6220-4f41-9365-41bd3440cc17,2025/1/21,Expert,2,4,3,3,3,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,2,2,1,3,2,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
836,"Office Clerks, General","Inventory and order materials, supplies, and services.",267f612f-6220-4f41-9365-41bd3440cc17,2025/1/21,Expert,1,1,1,1,4,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,5,2,1,1,5,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,
825,"Office Clerks, General","Collect, count, and disburse money, do basic bookkeeping, and complete banking transactions.",267f612f-6220-4f41-9365-41bd3440cc17,2025/1/21,Expert,1,3,2,2,3,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,5,3,3,4,5,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,
829,"Office Clerks, General","Complete and mail bills, contracts, policies, invoices, or checks.",267f612f-6220-4f41-9365-41bd3440cc17,2025/1/21,Expert,1,3,2,2,3,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,5,2,1,3,3,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,
55,Medical and Health Services Managers,"Maintain awareness of advances in medicine, computerized diagnostic and treatment equipment, data processing technology, government regulations, health insurance changes, and financing options.",a17b322e-3134-475c-a652-89f27b3a9946,2025/1/21,Expert,2,1,4,1,3,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,2,2,2,5,3,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,
2578,Customer Service Representatives,"Keep records of customer interactions or transactions, recording details of inquiries, complaints, or comments, as well as actions taken.",533a6bf0-9958-4892-8777-44108350b9be,2025/1/21,Average,4,1,1,1,2,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,1,3,2,2,1,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,FALSE
2580,Customer Service Representatives,Check to ensure that appropriate changes were made to resolve customers' problems.,533a6bf0-9958-4892-8777-44108350b9be,2025/1/21,Expert,2,2,2,4,2,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,3,2,2,2,3,FALSE,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,
