User ID,Occupation (O*NET-SOC Title),Gender,Race,Income,Age,Education,Experience,AI Tedious Work Attitude,AI Job Importance Attitude,AI Daily Interest Attitude,AI Suffering Attitude,Zip Code,Political Affiliation,LLM Familiarity,LLM Use in Work,LLM Usage by Type - Information Access,LLM Usage by Type - Edit,LLM Usage by Type - Idea Generation,LLM Usage by Type - Communication,LLM Usage by Type - Analysis,LLM Usage by Type - Decision,LLM Usage by Type - Coding,LLM Usage by Type - System Design,LLM Usage by Type - Data Processing,Work Description,Work Tasks,Work Tools,Work Processes,AI Envision,Recruitment Source
267f612f-6220-4f41-9365-41bd3440cc17,"Office Clerks, General",Female,White,529K+,18,"Some College, No Degree",1-2 year,Somewhat agree,Somewhat disagree,Strongly agree,Somewhat disagree,20686,Democrat,I use them regularly.,"No, I have not used them for any work-related activities.",,,,,,,,,,"Okay, so for work I typically answer phone calls, transfer phone calls, take new business calls, and then find agents to connect clients with. I take payments and cancel payments, deliver check and cash payments to the bank. I respond to emails, do a bit of marketing work, manage customer inquiries that come in from our website and online forms, as well as deal with just some general customer service issues, such as issues with the website, payment, etc.","So for work, I answer customer calls. This can take, you know, as quick as 15 seconds. I've had calls up to 40 minutes before. I'll transfer calls to agents, which again can take like 15 seconds, maximum 2 minutes because then the call drops. Take customer payment, which probably takes 2 minutes at a minimum, up to 15-20 minutes if it's super complex. What else? Oh, I address and send mail, which is taking as quick as a couple minutes up to, you know, an hour if there's a lot of mail. Deliver payments, normally 15 to 30 minutes or so. Respond to customer inquiries, a couple minutes up to 30 minutes or so.","Yeah so for these tasks I use Salesforce, I use Slack, phone, email, specific portal for the insurance company that I work for and then the portals for a few other lines that we sell so companies that we work with and then just Applied Epic which is a general portal which stores customer information and stuff like that.","So for connecting a customer with an agent when I call, I ask for their name, information, I put it in to Apply to Epic, I pull up their account, copy down what they're calling about and then their policy number and such. I park the call with the agent, call the agent and then transfer them over and provide that information. For taking payments, I first ask for the policy number, business name, customer name and then I go into our payment portal, I type that information in, I make sure it's the right policy, I get the contact information of the client so the receipt and confirmation can be sent to the right place. I ask them for the payment method, put that in and then get payment details, ensure that it's correct, generate a confirmation code, share that with the customer and then process the payment, save the receipt and then add it to their account. And then for, let's see, then for customer inquiries, I'll download the inquiry from online, I will see if it matches an existing customer, if not, I will go through our registry, assign that customer to an agent and then facilitate that communication, create an account and then add basic information to that.",,Prolific
a17b322e-3134-475c-a652-89f27b3a9946,Medical and Health Services Managers,Female,White,60-86K,30,"Professional Degree (e.g., MD, JD)",1-2 year,Somewhat agree,Neither agree nor disagree,Somewhat agree,Somewhat disagree,,Green Party,I use them regularly.,"Yes, I use them every week in my work.",Daily,Never,Never,Never,Weekly,Weekly,Never,Never,Monthly,I coordinate clinical care and documentation for patients of varying acuities and presentations indifferent kinds of healthcare settings (primarily hospital).  ,"I typically spend 20% of my time seeing patients, 10% of my time in meetings and lectures, 20% of the time coordinating patient care with other providers, and 50% of the time updating documentation related to patient care.","EMR (Epic) for patient care-related communication and documentation. Microsoft suite (Outlook, teams) for email and non-patient-care-related communications with colleagues. Webex for meetings and lectures.","My top three tasks include clinical documentation, communicating with colleagues for patient care, and seeing patients. Broadly, for clinical documentation tasks on Epic I have to find the correct patient, locate the correct template, and then fill out the template with the updated plan for that patient's care that day. I then sign the note for viewing by my colleagues. for communicating with colleagues for patient care, I typically will either message them on the Epic messaging system or call them directly depending on their preference. For seeing patients,  I generally have to review their chart in Epic and their previous medical history to understand what they came in to get care for, then formulate appropriate lines of questioning to get the full story from them, Perform a physical exam, and create a cohesive treatment plan which i then document in detail.",,Prolific
338ba985-156a-4c35-8e57-d7941d5c8ba0,Marketing Managers,Female,White,60-86K,27,Bachelor’s Degree,3-5 years,Strongly agree,Somewhat disagree,Somewhat disagree,Somewhat disagree,,Democrat,I have some experience using them.,"Yes, I use them every week in my work.",Monthly,Weekly,Monthly,Weekly,Never,Never,Never,Never,Never,I manage special interest groups of an association based on their specialty in transplantation and help them complete tasks such as developing educational materials and research content. I manage these groups to make sure they comply with organizational policies and provide support work such as admin. ,"I write emails, complete minutes, draft marketing materials. I host calls, market online content, provide guidance on policies and support leadership.","I use email quite a bit, I also use ChatGPT to help with drafting materials. I use Canva, Microsoft office, and an online discussion forum.","For emails, I typically draft emails based on my own personal knowledge and job experience, but if help is needed, I draft the email first then use ChatGPT to enhance it. I do the same for marketing posts. For minutes, I complete them during calls, but if needed I use ChatGPT for assistance based on transcript. ",,WoM
533a6bf0-9958-4892-8777-44108350b9be,Customer Service Representatives,Male,Asian American and Pacific Islander,86K-165K,28,Bachelor’s Degree,6-10 years,Somewhat agree,Somewhat agree,Somewhat agree,Neither agree nor disagree,10010,Republican,I use them regularly.,"Yes, I use them every week in my work.",Weekly,Weekly,Daily,Daily,Weekly,Daily,Weekly,Never,Weekly,I sell banking product and services to clients and I help clients with their financial goals by offering good promotions and rates compared to what they currently have.,I prioritize my clients based on their needs and I try to leverage our promotions to see which clients can benefit from the programs that we have because they are specific to each individuals.,I use a lot of sales force and other banking software to keep track of my leads and I like to put notes and follow up with all my clients to ensure they are happy.,First I prospect the client and see what products they have already with us and then I see what targeted promotion that they can stand to benefit from us. I then ask the client a lot of financial questions to see if they qualify and then I proceed with the application and I give them all the disclosures so they understand.,,Prolific
9f48da63-2e55-413d-a8b4-ec18e410eb36,Mechanical Engineers,Male,Black,30-60K,34,Bachelor’s Degree,6-10 years,Strongly agree,Strongly agree,Somewhat agree,Somewhat disagree,06438,Republican,I have some experience using them.,"Yes, I have used them occasionally for specific tasks.",Weekly,Daily,Daily,Daily,Daily,Daily,Never,Never,Never,"I supervise all production processes and streamline them to improve productivity. I also coordinate between my crew members, assign them to tasks, guide them to achieve team goals and motivates them ",I ensure all products are produced in accordance to the quality standards. I implement safety regulations and conducts staff training. I ensure all key performance indicators are achieved,"I use Microsoft office applications especially power point, word and excel. I also use chat GPT for brainstorming new ideas ","I visually inspects the products being produced, i run analysis on the products to ensure they meet the quality standards. I also coach and mentor crew members on how to work effectively to achieve team goals",,Prolific
32176135-796f-4d69-811a-b26a9dfc0c3c,Editors,Female,White,60-86K,53,Bachelor’s Degree,More than 10 years,Somewhat agree,Neither agree nor disagree,Strongly disagree,Somewhat agree,22043,Democrat,I have some experience using them.,"Yes, I have used them occasionally for specific tasks.",Never,Monthly,Never,Never,Never,Never,Never,Never,Never,"I write an edit articles for a print magazine, put those articles on our website, then create social media posts to drive traffic to the website. ","I write an edit articles for a print magazine, put those articles on our website, then create social media posts to drive traffic to the website. i spent about 40 percent of my time on print, and the remainder on digital and social ","I use Microsoft Word, photoshop, Adobe InDesign, Word Press, Excel, Adobe Acrobat Canva, Meta, Bluesky","I write articles by interviewing experts on the topic and then writing the stories.
I post articles that have been published in print, but uploading the text to the Word Press site and putting in images.
I use Emplifi to schedule posts on social media to promote articles that have been posted on our website.",,Prolific
f5ebd9c8-d0f3-4e08-8027-5680268d073d,Computer Network Support Specialists,Male,White,86K-165K,39,Bachelor’s Degree,6-10 years,Somewhat agree,Somewhat agree,Neither agree nor disagree,Somewhat agree,,Independent,I have some experience using them.,"Yes, I have used them occasionally for specific tasks.",Weekly,Weekly,Monthly,Daily,Daily,Daily,Weekly,Weekly,Weekly,Day to day consist of working with aws. Working with swan provider solutions. Typical network engineering task,Work through projects. Migrate data. Documentation is a big part of day to day task. We can also assist clients with their networks ,"We use anything from monitoring tools, CloudWatch, anything that comes with your typical AWS package, Azure package, anything cloud-related. We also do typical router switch monitoring tools, anything and everything that goes with the creation of all of those tasks.","Building route tables. I mean, it varies. It can be anything. Troubleshooting is a big thing. I mean, there's no one set task. I mean, anything from creating maps, building route tables, to more complex issues that may occur either in a project setting or in a network setting.",,Prolific
de9faa82-c8c8-477d-8baf-ef041992ff87,Environmental Engineers,Male,Black,86K-165K,22,Bachelor’s Degree,3-5 years,Strongly agree,Strongly agree,Strongly agree,Strongly agree,20001,Republican,I have some experience using them.,"Yes, I use them every week in my work.",Weekly,Monthly,Monthly,Monthly,Weekly,Daily,Weekly,Weekly,Weekly,"my day-to-day work revolves around assisting people by answering questions, providing explanations, offering suggestions, and helping with various tasks. Here’s a breakdown of what my usual work involves:","
Based on the way I function, my tasks can vary, but here’s a general breakdown of what I do, considering the amount of time spent on each activity:
","
Since I am an AI, I don’t directly use traditional software or tools in the same way a human would. However, I rely on a variety of internal mechanisms and processes to perform my tasks. Below is a list of tools and methods sorted by their frequency of use for the tasks I perform:
","This is the most frequent task I perform, and my process involves multiple steps to ensure I provide the most accurate, relevant, and clear response.
",,Prolific
c0f8c0cb-3416-4a61-942b-a607705cedc1,Marketing Managers,Male,White,0-30K,54,"Some College, No Degree",More than 10 years,Strongly agree,Somewhat agree,Strongly agree,Strongly disagree,55404,Independent,I have some experience using them.,"Yes, I have used them occasionally for specific tasks.",Daily,Daily,Daily,Never,Never,Daily,Monthly,Never,Never,Business consulting and social engineering involves uncovering revenue opportunities and identifying marketing and sales opportunities,"Checking and responding to email, tracking client progress, examining market opportunities and engagement.","GMail, Gemini, X, Grok, Google analytics, Copilot, and partner feedback on various projects, crowd sourcing, and outsourcing when necessary.","Reading and responding to email followed by looking over client account progress and taking necessary action, followed by outgoing communications.",,Prolific
9aef09c6-ccfd-4dc0-a578-1ae21f7450a1,Accountants and Auditors,Male,Black,30-60K,24,Master’s Degree,3-5 years,Strongly agree,Strongly agree,Strongly agree,Neither agree nor disagree,07207,Republican,I use them regularly.,"Yes, I use them every day in my work.",Daily,Daily,Weekly,Daily,Daily,Daily,Daily,Daily,Daily,"As an accountant, my primary responsibilities include managing and maintaining accurate financial records for businesses or individuals. I prepare financial statements, such as balance sheets, income statements, and cash flow statements, to provide a clear overview of the organization’s financial health. I ensure compliance with tax laws by preparing and filing tax returns and advising on strategies to minimize tax liabilities. Additionally, I perform budgeting and forecasting to help organizations plan their finances effectively. I also conduct audits, analyze financial data, and offer recommendations to improve financial performance, ensuring all accounting activities adhere to regulatory standards and company policies.","As an accountant, the tasks I typically spend the most time on include managing financial records and ensuring their accuracy. This involves recording transactions, reconciling accounts, and maintaining ledgers. A significant portion of my time goes toward preparing financial reports, such as income statements and balance sheets, which help stakeholders understand the financial position of the organization. I also dedicate time to tax preparation and compliance, including calculating liabilities, filing returns, and staying updated on changes in tax laws. Additionally, I work on budgeting and forecasting, conducting audits, and analyzing financial data to identify trends and opportunities for cost savings or efficiency improvements.","The tools and software I use as an accountant are very important in managing financial tasks effectively. First on the list is accounting software, such as QuickBooks, Xero, or Sage, which I use daily. These tools handle essential tasks such as recording transactions, reconciling accounts, generating invoices, and managing payroll. They are the backbone of my work, ensuring financial records are accurate and up-to-date.

I also strongly rely on spreadsheet tools such as Microsoft Excel and Google Sheets. These are simply indispensable in composing financial models, doing detailed analysis of data, and arranging substantial volumes of data. Their flexibility makes them very extendable for tailored reporting and calculating to suit my needs, therefore a core tool within my workflow.

During tax season, tax software such as TurboTax, ProSeries, or Drake Tax becomes critical. These tools streamline the preparation and filing of tax returns, ensuring compliance with the latest tax laws and minimizing errors. In larger organizations, I frequently use enterprise resource planning (ERP) systems like SAP or Oracle NetSuite to integrate accounting with other business processes such as inventory and procurement.

For audit-related tasks, tools like CaseWare, IDEA, or ACL help me test internal controls, analyze financial risks, and conduct audits efficiently. Project management tools such as Trello, Asana, or Monday.com assist in tracking progress on accounting projects, ensuring deadlines are met, and enabling collaboration with team members. Lastly, document management systems like DocuSign or Adobe Acrobat are essential for handling digital signatures, organizing financial documents, and maintaining secure records.

Together, these tools streamline my workflow, enhance accuracy, and improve collaboration, enabling me to perform my tasks efficiently and effectively.","Managing Financial Records
Managing financial records is a daily responsibility that ensures all transactions are accurately tracked and organized. My process begins with recording transactions, such as sales, purchases, and payments, into accounting software like QuickBooks or Xero. I categorize these transactions into the correct accounts to maintain a clear and consistent ledger. At the end of each day or week, I reconcile these records by comparing them with bank statements to verify their accuracy. Any discrepancies are investigated by reviewing supporting documents such as invoices or receipts. This process culminates in preparing for monthly or quarterly closings, ensuring the financial data is ready for reporting or audits.

Preparing Financial Reports
Preparing financial reports, such as income statements and balance sheets, is another key task. I begin by gathering and reviewing data from the accounting system to ensure that all transactions are recorded and categorized correctly. Using accounting software, I generate preliminary reports and customize them to emphasize specific metrics or performance indicators. Once the reports are generated, I carefully analyze the data, identify trends, and compare actual results to budgets or forecasts. This analysis helps me spot inconsistencies or areas needing improvement. Finally, I present the completed reports to stakeholders, providing clear explanations of key insights and answering any questions they may have.

Tax Preparation and Compliance
Tax preparation is a crucial part of my work, especially during tax season. My process starts with gathering all necessary documentation, including invoices, receipts, payroll records, and prior tax returns. I enter this data into tax software like ProSeries or Drake Tax, ensuring every entry aligns with current tax regulations. I review deductions, credits, and other tax-related items to optimize the tax position while maintaining compliance. Once the return is prepared, I thoroughly review it for accuracy before filing it electronically or preparing it for submission by mail. Throughout this process, I stay updated on changes in tax laws to ensure accurate and compliant filings.

By following these structured processes, I ensure that my work is accurate, efficient, and compliant with regulatory requirements, helping my organization maintain financial integrity.",,Prolific
